treatment_id,disease_name_english,specialty,keywords
101,Heart Attack,Cardiology,"dil mae dard hora, mujhe dil mein dard ho raha hai, chest pain severe, cardiac arrest, angina, heart problem, myocardial infarction, dil ka daura, seene mein dard, heavy chest, heart attack symptoms, left arm pain"
102,Cataract Surgery,Ophthalmology,"aankh mein dhundhla dikh raha hai, eye lens surgery, motiyabind, blurry vision, aankh ka motiyabind, safed motia, cloudy vision, eye operation, vision problem, cataract"
103,Appendectomy,General Surgery,"pet mae dard hora, stomach pain right side, appendicitis, pet dard right side, appendix operation, severe stomach ache, vomiting and stomach pain"
104,Childbirth,Obstetrics,"delivery, pregnancy, having a baby, prasav, garbhwati, maternity, labor pain, baby birth, c-section, normal delivery, pregnant woman"
105,Dengue Fever,Internal Medicine,"bukhar nahi utar raha, dengue treatment, platelet drop, fever, dengu bukhar, mosquito bite, high fever, body pain, dangu, joint pain fever"
106,Kidney Stones,Urology,"pathri ka dard, renal calculi, pathri, gurde ki pathri, stone removal, stomach pain back, urine pain, kidney stone, back pain severe"
107,Knee Replacement,Orthopedics,"ghutne mein dard, knee surgery, arthritis, joint pain, ghutna badalna, gathiya, knee pain, walking problem, knee operation, joint replacement"
108,Hernia Repair,General Surgery,"pet ki nas, hernia surgery, swelling in groin, hernia operation, hernia pain, muscle tear stomach"
109,Gallbladder Removal,General Surgery,"pitt ki thaili mein pathri, cholecystectomy, gallstones, stone in gall bladder, gallbladder operation, stomach pain upper right"
110,Typhoid Fever,Internal Medicine,"miyadi bukhar, typhoid treatment, enteric fever, high fever, stomach infection, typhoid positive, long fever"
111,Pneumonia,Pulmonology,"saans lene mein taklif, lung infection, breathing problem, phephadon mein paani, chest congestion, cough, pneumonia, high fever cough"
112,Diabetes Management,Endocrinology,"sugar badh gaya hai, diabetes checkup, sugar ki bimari, madhumeh, high blood sugar, insulin, sugar control, diabetic foot"
113,Fracture Treatment,Orthopedics,"haddi toot gayi, broken bone, plaster, bone injury, xray, accident, fracture, hand fracture, leg fracture"
114,Dialysis,Nephrology,"kidney kharab ho gayi, kidney failure, blood purification, kidney wash, renal failure, dialysis, creatinine high"
115,Tonsillitis,ENT,"gale mein dard, tonsil problem, sore throat, tonsil operation, throat pain, difficulty swallowing"
116,Migraine,Neurology,"sar dard, aadha sir dard, severe headache, migraine pain, head throbbing, vomiting headache"
117,Jaundice,Gastroenterology,"piliya ho gaya, yellow eyes, yellow skin, liver infection, jaundice, hepatitis, liver problem"
118,Piles Surgery,General Surgery,"bawasir, piles problem, rectal bleeding, fistula, fissure, painful stool"
119,Skin Allergy,Dermatology,"khujli ho rahi hai, skin rash, itching, red spots, fungal infection, eczema, skin allergy, ringworm"
120,Root Canal,Dentistry,"daant mein dard, tooth pain, dental surgery, cavity, rct, toothache, gum swelling"